"Título do Desenho: controle 1"
"#","Data Hora, GMT-02:00","Temp., °C (LGR S/N: 20055113, SEN S/N: 20055113)","Intensidade, Lux (LGR S/N: 20055113, SEN S/N: 20055113)","Anfitrião Ligado (LGR S/N: 20055113)","Acoplador Ligado (LGR S/N: 20055113)","Parado (LGR S/N: 20055113)","Fim Do Ficheiro (LGR S/N: 20055113)"
453,11/21/22 05h32min0s,26.683,301.4,,,,
454,11/21/22 05h33min0s,26.683,290.6,,,,
455,11/21/22 05h34min0s,26.585,290.6,,,,
456,11/21/22 05h35min0s,26.585,301.4,,,,
457,11/21/22 05h36min0s,26.585,279.9,,,,
458,11/21/22 05h37min0s,26.585,269.1,,,,
459,11/21/22 05h38min0s,26.585,258.3,,,,
460,11/21/22 05h39min0s,26.585,430.6,,,,
461,11/21/22 05h40min0s,26.585,409.0,,,,
462,11/21/22 05h41min0s,26.585,322.9,,,,
463,11/21/22 05h42min0s,26.585,366.0,,,,
464,11/21/22 05h43min0s,26.585,387.5,,,,
465,11/21/22 05h44min0s,26.488,398.3,,,,
466,11/21/22 05h45min0s,26.585,936.5,,,,
